Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"PROJECT_INFO:  NASA OWLETS-II; 06 June-06 July 2018; University of Howard, Beltsville Campus, Beltsville, Maryland, United States of America; https://www-air.larc.nasa.gov/missions/owlets/index.html",46,737273,987.2,0.255,23.39,297.64,56.75,10.39,14.36,1,2.51,201.8,2.7,39.057,-76.876,4.1,41.6,0.53,32.38,304.9
STIPULATIONS_ON_USE:  Use of these data requires prior approval from Ricardo Sakai (ricardo.k.sakai@Howard.edu,47,737274,986.61,0.261,23.39,297.68,56.82,10.41,14.37,1.06,2.59,202.31,2.8,39.057,-76.876,4.13,41.9,0.55,32.62,304.88
OTHER_COMMENTS: Launch Time: 2018-06-17 06:17:24,48,737275,986.03,0.266,23.37,297.72,56.9,10.42,14.38,1.12,2.68,202.76,2.91,39.057,-76.876,4.16,42.2,0.57,32.83,304.86
REVISION: RA,49,737276,985.48,0.271,23.35,297.74,56.97,10.42,14.37,1.18,2.77,203.17,3.01,39.057,-76.876,4.18,42.5,0.59,33.01,304.84
"RA: These data are interpolated to 1Hz and include a pressure correction described in Stauffer et al. (2014, AMT)",50,737277,984.96,0.275,23.32,297.76,56.99,10.41,14.36,1.24,2.85,203.53,3.11,39.057,-76.876,4.22,42.8,0.61,33.26,304.84
"Index_number, Seconds_UTC, Pressure_hPa, Altitude_km, Temp_degC, Theta_K, RH_percent, H2O_gpkg, Frostpoint_degC, u_mps, v_mps,  WindDirection_deg, WindSpeed_mps,  Latitude_deg, Longitude_deg, Ozone_mPa, Ozone_ppmv, intO3_DU, resO3_DU, PumpTemp_degC",51,737278,984.46,0.28,23.3,297.78,56.92,10.39,14.32,1.3,2.94,203.86,3.21,39.057,-76.876,4.26,43.2,0.62,33.58,304.83
,52,737279,984,0.284,23.29,297.81,56.79,10.37,14.27,1.35,3.02,204.14,3.31,39.057,-76.876,4.31,43.8,0.64,33.99,304.83
,53,737280,983.54,0.288,23.28,297.84,56.64,10.34,14.22,1.4,3.1,204.39,3.4,39.057,-76.876,4.31,43.8,0.65,34,304.83
,54,737281,983.04,0.292,23.26,297.86,56.46,10.3,14.16,1.45,3.17,204.61,3.49,39.057,-76.876,4.34,44.2,0.67,34.26,304.83
,55,737282,982.52,0.297,23.23,297.88,56.28,10.25,14.08,1.5,3.24,204.81,3.57,39.057,-76.876,4.37,44.4,0.69,34.44,304.82
,56,737283,981.97,0.302,23.21,297.9,56.22,10.23,14.04,1.54,3.31,204.99,3.65,39.057,-76.876,4.38,44.6,0.71,34.53,304.82
,57,737284,981.41,0.307,23.19,297.93,56.28,10.23,14.04,1.58,3.36,205.15,3.72,39.057,-76.876,4.38,44.6,0.73,34.54,304.8
,58,737285,980.82,0.312,23.18,297.97,56.31,10.24,14.04,1.61,3.41,205.3,3.77,39.057,-76.876,4.39,44.8,0.76,34.64,304.8
,59,737286,980.18,0.318,23.17,298.02,56.23,10.23,14.01,1.64,3.45,205.43,3.82,39.057,-76.876,4.42,45,0.78,34.84,304.79
,60,737287,979.57,0.323,23.18,298.09,56.07,10.21,13.98,1.66,3.48,205.54,3.86,39.057,-76.876,4.42,45.1,0.8,34.88,304.78
,61,737288,979.05,0.328,23.21,298.16,55.91,10.21,13.96,1.68,3.5,205.65,3.89,39.057,-76.876,4.43,45.3,0.81,34.99,304.77
,62,737289,978.61,0.332,23.24,298.23,55.78,10.2,13.95,1.7,3.52,205.75,3.9,39.058,-76.876,4.44,45.4,0.82,35.03,304.71
,63,737290,978.23,0.335,23.27,298.29,55.64,10.2,13.94,1.71,3.52,205.85,3.91,39.058,-76.876,4.49,45.9,0.84,35.46,304.71
,64,737291,977.85,0.339,23.28,298.34,55.52,10.19,13.92,1.71,3.51,205.95,3.91,39.058,-76.876,4.51,46.1,0.85,35.57,304.71
,65,737292,977.45,0.342,23.27,298.36,55.49,10.18,13.9,1.71,3.5,206.06,3.89,39.058,-76.876,4.52,46.3,0.87,35.67,304.7
,66,737293,977.03,0.346,23.25,298.38,55.4,10.16,13.86,1.71,3.47,206.16,3.87,39.058,-76.876,4.56,46.7,0.89,35.97,304.7
,67,737294,976.58,0.35,23.3,298.47,54.9,10.1,13.77,1.7,3.44,206.27,3.84,39.058,-76.876,4.62,47.4,0.9,36.49,304.7
,68,737295,976.12,0.354,23.46,298.67,53.89,10.02,13.63,1.69,3.4,206.39,3.8,39.058,-76.876,4.63,47.4,0.92,36.51,304.71
,69,737296,975.65,0.358,23.65,298.9,52.74,9.92,13.47,1.68,3.36,206.53,3.75,39.058,-76.876,4.65,47.7,0.94,36.72,304.71
,70,737297,975.18,0.362,23.78,299.07,51.89,9.84,13.34,1.66,3.3,206.69,3.7,39.058,-76.876,4.66,47.8,0.96,36.75,304.72
,71,737298,974.7,0.367,23.84,299.17,51.39,9.78,13.25,1.64,3.24,206.87,3.64,39.058,-76.876,4.66,47.8,0.98,36.75,304.75
,72,737299,974.17,0.371,23.85,299.23,51.07,9.73,13.17,1.63,3.18,207.07,3.57,39.058,-76.875,4.69,48.1,1,36.99,304.78
,73,737300,973.61,0.377,23.85,299.28,50.81,9.69,13.08,1.61,3.11,207.29,3.5,39.058,-76.875,4.72,48.5,1.02,37.22,304.8
,74,737301,973.05,0.382,23.84,299.32,50.58,9.65,13.01,1.59,3.04,207.54,3.43,39.058,-76.875,4.74,48.7,1.04,37.39,304.83
,75,737302,972.51,0.386,23.85,299.38,50.38,9.62,12.96,1.57,2.97,207.83,3.36,39.058,-76.875,4.76,48.9,1.06,37.53,304.86
,76,737303,971.96,0.391,23.88,299.45,50.21,9.61,12.93,1.55,2.89,208.19,3.28,39.058,-76.876,4.84,49.8,1.08,38.16,304.89
,77,737304,971.38,0.397,23.9,299.53,50.08,9.6,12.91,1.54,2.81,208.63,3.2,39.058,-76.876,4.91,50.5,1.11,38.73,304.93
,78,737305,970.81,0.402,23.93,299.6,49.95,9.6,12.9,1.53,2.73,209.17,3.13,39.058,-76.876,4.91,50.6,1.13,38.78,304.93
,79,737306,970.31,0.406,23.97,299.69,49.78,9.59,12.88,1.52,2.65,209.82,3.06,39.058,-76.876,4.93,50.8,1.14,38.87,304.93
,80,737307,969.87,0.41,24.01,299.77,49.57,9.58,12.85,1.52,2.57,210.58,2.99,39.058,-76.876,4.94,50.9,1.16,38.97,304.92
,81,737308,969.45,0.414,24.04,299.84,49.3,9.55,12.8,1.52,2.49,211.44,2.92,39.058,-76.876,5,51.5,1.18,39.41,304.92
,82,737309,968.98,0.418,24.08,299.92,48.95,9.51,12.73,1.53,2.41,212.41,2.85,39.058,-76.876,5,51.6,1.2,39.48,304.91
,83,737310,968.47,0.423,24.11,300,48.48,9.44,12.61,1.54,2.32,213.51,2.79,39.058,-76.876,5,51.7,1.22,39.48,304.9
,84,737311,967.97,0.427,24.14,300.07,47.97,9.36,12.48,1.55,2.24,214.77,2.73,39.058,-76.876,5,51.7,1.24,39.47,304.87
,85,737312,967.53,0.431,24.15,300.12,47.58,9.29,12.36,1.58,2.16,216.2,2.67,39.058,-76.875,5,51.7,1.26,39.47,304.87
,86,737313,967.14,0.435,24.15,300.16,47.29,9.24,12.27,1.61,2.07,217.8,2.62,39.058,-76.875,5,51.7,1.27,39.47,304.87
,87,737314,966.75,0.438,24.15,300.19,47.08,9.2,12.21,1.64,1.99,219.58,2.58,39.058,-76.875,5.03,52,1.29,39.69,304.86
,88,737315,966.34,0.442,24.15,300.22,46.95,9.18,12.16,1.69,1.91,221.5,2.55,39.058,-76.875,5.03,52.1,1.31,39.69,304.87
,89,737316,965.92,0.446,24.12,300.24,46.94,9.17,12.13,1.74,1.83,223.53,2.52,39.058,-76.875,5.04,52.2,1.32,39.76,304.86
,90,737317,965.51,0.45,24.09,300.24,47.02,9.17,12.13,1.79,1.75,225.67,2.51,39.058,-76.875,5.05,52.3,1.34,39.84,304.84
,91,737318,965.13,0.453,24.07,300.25,47.12,9.18,12.14,1.85,1.67,227.9,2.5,39.058,-76.875,5.05,52.3,1.35,39.84,304.85
,92,737319,964.78,0.456,24.05,300.27,47.24,9.2,12.17,1.92,1.6,230.2,2.49,39.058,-76.875,5.08,52.7,1.37,40.08,304.85
,93,737320,964.4,0.46,24.03,300.28,47.42,9.23,12.2,1.99,1.52,232.57,2.5,39.058,-76.875,5.15,53.4,1.39,40.65,304.85
,94,737321,963.98,0.463,24.01,300.29,47.69,9.27,12.27,2.06,1.44,234.96,2.52,39.058,-76.875,5.2,53.9,1.41,41.02,304.95
,95,737322,963.5,0.468,23.97,300.3,48.04,9.32,12.35,2.14,1.37,237.33,2.54,39.058,-76.875,5.23,54.2,1.43,41.24,304.97
,96,737323,962.97,0.473,23.94,300.32,48.41,9.38,12.44,2.22,1.3,239.63,2.58,39.058,-76.875,5.23,54.3,1.45,41.24,304.97
,97,737324,962.42,0.478,23.92,300.34,48.69,9.43,12.5,2.31,1.24,241.84,2.62,39.058,-76.875,5.24,54.4,1.48,41.32,304.97
,98,737325,961.91,0.482,23.91,300.37,48.75,9.44,12.51,2.4,1.18,243.91,2.68,39.058,-76.875,5.24,54.5,1.5,41.38,304.96
,99,737326,961.43,0.487,23.9,300.41,48.51,9.4,12.43,2.49,1.12,245.86,2.73,39.058,-76.875,5.27,54.8,1.51,41.59,304.96
,100,737327,961,0.491,23.91,300.45,48.06,9.31,12.29,2.59,1.06,247.66,2.79,39.058,-76.875,5.29,55,1.53,41.72,304.95
,101,737328,960.58,0.494,23.9,300.49,47.58,9.22,12.14,2.67,1.01,249.32,2.86,39.058,-76.875,5.35,55.7,1.55,42.19,304.95
,102,737329,960.14,0.498,23.89,300.52,47.21,9.15,12.01,2.76,0.96,250.84,2.92,39.058,-76.875,5.39,56.1,1.57,42.49,304.95
,103,737330,959.68,0.503,23.88,300.54,47.03,9.11,11.93,2.84,0.91,252.21,2.99,39.058,-76.875,5.41,56.4,1.59,42.72,304.98
,104,737331,959.21,0.507,23.85,300.56,47.14,9.12,11.95,2.92,0.87,253.43,3.05,39.058,-76.875,5.43,56.6,1.61,42.87,305.04
,105,737332,958.75,0.511,23.82,300.57,47.51,9.18,12.04,3,0.83,254.52,3.11,39.058,-76.875,5.44,56.7,1.64,42.93,305.04
,106,737333,958.27,0.515,23.8,300.59,48,9.27,12.17,3.07,0.8,255.48,3.17,39.058,-76.875,5.44,56.8,1.66,42.94,305.04
,107,737334,957.75,0.52,23.76,300.6,48.47,9.34,12.29,3.14,0.76,256.35,3.23,39.058,-76.875,5.49,57.3,1.68,43.29,304.99
,108,737335,957.2,0.525,23.72,300.61,48.84,9.4,12.37,3.2,0.73,257.14,3.28,39.058,-76.875,5.54,57.8,1.71,43.69,304.99
,109,737336,956.66,0.53,23.69,300.63,49.15,9.44,12.43,3.25,0.7,257.86,3.33,39.058,-76.875,5.54,57.9,1.73,43.69,304.99
,110,737337,956.09,0.535,23.65,300.64,49.49,9.5,12.51,3.3,0.67,258.5,3.37,39.058,-76.875,5.55,58,1.76,43.77,304.98
,111,737338,955.5,0.541,23.61,300.65,49.87,9.55,12.59,3.33,0.64,259.07,3.4,39.058,-76.875,5.55,58.1,1.79,43.77,304.98
,112,737339,954.93,0.546,23.57,300.66,50.16,9.59,12.63,3.36,0.62,259.56,3.42,39.058,-76.875,5.55,58.1,1.81,43.77,304.99
,113,737340,954.41,0.551,23.53,300.66,50.3,9.6,12.64,3.38,0.6,260,3.43,39.058,-76.875,5.51,57.7,1.83,43.45,305
,114,737341,953.93,0.555,23.49,300.67,50.38,9.59,12.62,3.39,0.57,260.41,3.44,39.059,-76.874,5.51,57.7,1.85,43.45,305.01
,115,737342,953.48,0.559,23.45,300.67,50.45,9.59,12.61,3.39,0.55,260.81,3.44,39.059,-76.874,5.51,57.8,1.87,43.45,305.03
,116,737343,953.03,0.563,23.43,300.68,50.49,9.59,12.6,3.39,0.52,261.24,3.43,39.059,-76.874,5.52,57.9,1.9,43.53,305.06
,117,737344,952.55,0.568,23.4,300.7,50.52,9.58,12.58,3.38,0.49,261.68,3.42,39.059,-76.874,5.53,58,1.92,43.61,305.12
,118,737345,952.01,0.573,23.36,300.71,50.66,9.59,12.59,3.36,0.46,262.14,3.4,39.059,-76.874,5.53,58.1,1.95,43.61,305.12
,119,737346,951.46,0.578,23.33,300.73,50.95,9.63,12.65,3.34,0.43,262.62,3.37,39.059,-76.874,5.53,58.1,1.97,43.61,305.12
,120,737347,950.98,0.582,23.3,300.74,51.23,9.67,12.7,3.31,0.4,263.11,3.34,39.059,-76.874,5.52,58.1,1.99,43.56,305.11
,121,737348,950.58,0.586,23.28,300.75,51.34,9.69,12.72,3.28,0.37,263.61,3.3,39.059,-76.874,5.52,58.1,2,43.54,305.1
,122,737349,950.21,0.589,23.26,300.77,51.32,9.67,12.69,3.25,0.33,264.12,3.27,39.059,-76.874,5.52,58.1,2.02,43.54,305.09
,123,737350,949.83,0.593,23.23,300.78,51.2,9.64,12.64,3.21,0.3,264.66,3.23,39.059,-76.874,5.51,58,2.04,43.49,305.08
,124,737351,949.45,0.596,23.21,300.79,50.96,9.59,12.54,3.18,0.26,265.24,3.19,39.059,-76.874,5.52,58.1,2.06,43.53,305.06
,125,737352,949.06,0.6,23.18,300.8,50.57,9.5,12.4,3.14,0.23,265.87,3.14,39.059,-76.874,5.52,58.1,2.07,43.53,305.05
,126,737353,948.66,0.603,23.16,300.81,50.14,9.41,12.25,3.1,0.19,266.55,3.1,39.059,-76.874,5.52,58.2,2.09,43.54,305.04
,127,737354,948.23,0.607,23.14,300.83,49.79,9.34,12.13,3.06,0.15,267.27,3.06,39.059,-76.874,5.52,58.2,2.11,43.53,305
,128,737355,947.79,0.611,23.12,300.85,49.61,9.3,12.05,3.02,0.11,268,3.02,39.059,-76.874,5.53,58.4,2.14,43.66,304.99
,129,737356,947.33,0.616,23.09,300.87,49.58,9.28,12.02,2.98,0.07,268.74,2.98,39.059,-76.874,5.53,58.4,2.16,43.66,304.96
,130,737357,946.85,0.62,23.06,300.88,49.63,9.28,12.01,2.95,0.03,269.47,2.95,39.059,-76.874,5.53,58.4,2.18,43.66,304.96
,131,737358,946.38,0.624,23.03,300.88,49.74,9.28,12.01,2.91,-0.01,270.19,2.91,39.059,-76.874,5.53,58.5,2.2,43.66,304.96
,132,737359,945.92,0.629,23,300.89,49.89,9.3,12.02,2.89,-0.04,270.89,2.89,39.059,-76.874,5.53,58.5,2.22,43.65,304.96
,133,737360,945.45,0.633,22.97,300.91,50.09,9.32,12.06,2.86,-0.08,271.59,2.86,39.059,-76.874,5.53,58.5,2.25,43.65,305.01
,134,737361,944.95,0.638,22.93,300.92,50.31,9.35,12.09,2.84,-0.11,272.27,2.84,39.059,-76.874,5.53,58.6,2.27,43.65,305.01
,135,737362,944.43,0.642,22.9,300.93,50.45,9.36,12.1,2.82,-0.14,272.92,2.82,39.059,-76.874,5.53,58.6,2.29,43.64,305.01
,136,737363,943.94,0.647,22.87,300.94,50.49,9.35,12.08,2.8,-0.17,273.52,2.8,39.059,-76.874,5.53,58.6,2.31,43.61,305.01
,137,737364,943.5,0.651,22.84,300.96,50.45,9.34,12.05,2.78,-0.2,274.08,2.79,39.059,-76.874,5.49,58.2,2.33,43.33,305.01
,138,737365,943.1,0.655,22.82,300.98,50.47,9.34,12.04,2.77,-0.22,274.58,2.78,39.059,-76.874,5.49,58.2,2.35,43.33,305.01
,139,737366,942.73,0.658,22.81,300.99,50.67,9.37,12.08,2.76,-0.24,275.03,2.77,39.059,-76.874,5.49,58.3,2.37,43.33,305.03
,140,737367,942.33,0.662,22.79,301.01,51.07,9.43,12.18,2.75,-0.26,275.42,2.76,39.059,-76.874,5.5,58.4,2.39,43.39,305.04
,141,737368,941.89,0.666,22.76,301.02,51.56,9.51,12.3,2.74,-0.28,275.75,2.75,39.059,-76.873,5.5,58.4,2.41,43.39,305.04
,142,737369,941.43,0.67,22.72,301.02,51.96,9.57,12.38,2.74,-0.29,276.03,2.75,39.059,-76.873,5.5,58.4,2.43,43.39,305.04
,143,737370,940.97,0.674,22.67,301.02,52.21,9.6,12.42,2.74,-0.3,276.28,2.75,39.059,-76.873,5.49,58.4,2.45,43.35,305.04
,144,737371,940.52,0.679,22.63,301.01,52.4,9.61,12.43,2.74,-0.31,276.5,2.76,39.059,-76.873,5.48,58.2,2.47,43.21,304.99
,145,737372,940.07,0.683,22.58,301,52.58,9.62,12.44,2.74,-0.32,276.69,2.76,39.059,-76.873,5.46,58.1,2.49,43.1,304.99
,146,737373,939.63,0.687,22.54,301,52.75,9.63,12.45,2.75,-0.33,276.83,2.77,39.059,-76.873,5.46,58.1,2.51,43.09,304.99
,147,737374,939.22,0.691,22.5,301,52.91,9.64,12.46,2.76,-0.33,276.93,2.78,39.059,-76.873,5.46,58.1,2.53,43.09,305.03
,148,737375,938.82,0.694,22.47,301.01,53.08,9.66,12.48,2.77,-0.34,276.97,2.79,39.059,-76.873,5.46,58.2,2.55,43.1,305.03
,149,737376,938.43,0.698,22.45,301.02,53.24,9.68,12.5,2.78,-0.34,276.99,2.8,39.058,-76.873,5.48,58.4,2.56,43.23,305.03
,150,737377,938.06,0.701,22.42,301.02,53.39,9.69,12.52,2.79,-0.34,276.99,2.81,39.058,-76.873,5.48,58.4,2.58,43.21,304.94
,151,737378,937.71,0.705,22.38,301.02,53.53,9.7,12.53,2.81,-0.34,276.99,2.83,39.058,-76.873,5.48,58.4,2.59,43.21,304.91
,152,737379,937.36,0.708,22.35,301.02,53.66,9.71,12.53,2.84,-0.35,276.99,2.86,39.058,-76.873,5.46,58.3,2.61,43.09,304.91
,153,737380,936.99,0.711,22.31,301.01,53.8,9.71,12.54,2.86,-0.35,277,2.89,39.058,-76.873,5.45,58.1,2.63,42.97,304.83
,154,737381,936.57,0.715,22.28,301.02,53.94,9.72,12.55,2.89,-0.36,277.02,2.92,39.058,-76.873,5.42,57.9,2.65,42.78,304.83
,155,737382,936.16,0.719,22.24,301.02,54.06,9.73,12.55,2.92,-0.36,277.04,2.95,39.058,-76.873,5.42,57.9,2.67,42.76,304.83
,156,737383,935.77,0.723,22.21,301.02,54.13,9.73,12.54,2.95,-0.37,277.08,2.98,39.058,-76.873,5.42,57.9,2.69,42.77,304.84
,157,737384,935.38,0.726,22.18,301.03,54.19,9.72,12.53,2.99,-0.38,277.16,3.01,39.058,-76.873,5.42,58,2.7,42.78,304.89
,158,737385,934.98,0.73,22.16,301.04,54.24,9.72,12.52,3.02,-0.39,277.28,3.04,39.058,-76.873,5.42,58,2.72,42.78,304.9
,159,737386,934.55,0.734,22.13,301.05,54.29,9.72,12.5,3.05,-0.4,277.43,3.08,39.058,-76.873,5.42,58,2.74,42.78,304.92
